id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
3457,10260,11,Manchester United,MUN
3458,10261,13,Newcastle United,NEW
3459,9825,1,Arsenal,ARS
3460,8659,109,West Bromwich Albion,WBA
3461,8472,106,Sunderland,SUN
3462,8650,9,Liverpool,LIV
3463,8654,19,West Ham United,WHU
3464,8528,1917,Wigan Athletic,WIG
3465,10252,2,Aston Villa,AVL
3466,8456,10,Manchester City,MCI
3467,8668,7,Everton,EVE
3468,8655,3,Blackburn Rovers,BLB
3469,8549,12,Middlesbrough,MID
3470,8586,18,Tottenham Hotspur,TOT
3472,10194,1806,Stoke City,STK
3473,8667,1952,Hull City,HUL
3474,9879,144,Fulham,FUL
3475,8455,5,Chelsea,CHE
4225,8602,110,Wolverhampton Wanderers,WOL
4234,8191,1796,Burnley,BUR
4996,8483,1926,Blackpool,BLA
5744,10003,1960,Swansea City,SWA
5747,10172,15,Queens Park Rangers,QPR
5756,9850,1792,Norwich City,NOR
6509,9798,1793,Reading,REA
7261,9826,1799,Crystal Palace,CRY
7276,8344,1961,Cardiff City,CAR
8021,8197,95,Leicester City,LEI
8779,8678,1943,Bournemouth,BOU
8784,9817,1795,Watford,WAT
